"time","message"
"2019-12-11 11:20:17","Hello. I am your truck chatbox."
"2019-12-11 11:20:18","Do you want to add the truck 1 in your fleet? (y/n)"
"2019-12-11 11:20:18","y"
"2019-12-11 11:20:21","What is the axle configuration? (nxn)"
"2019-12-11 11:20:21","4x2"
"2019-12-11 11:20:27","What is the net weight of the truck in kg?"
"2019-12-11 11:20:27","10000"
"2019-12-11 11:20:29","What is the load of the truck in kg?"
"2019-12-11 11:20:29","5000"
"2019-12-11 11:20:32","Do you want to add the truck 2 in your fleet? (y/n)"
"2019-12-11 11:20:32","n"
"2019-12-11 11:20:32","Your fleet of trucks is listed below (number,axle configuration,weight,load):"
"2019-12-11 11:20:32","[[1, '4x2', 10000.0, 5000.0]]"
