"time","side","message"
"2019-12-11 11:41:31","bot","Hello. I am your truck chatbox."
"2019-12-11 11:41:34","bot","Do you want to add the truck 1 in your fleet(y/n)? "
"2019-12-11 11:41:34","user","y"
"2019-12-11 11:41:51","bot","What is the axle configuration? (nxn) "
"2019-12-11 11:41:51","user","4x2"
"2019-12-11 11:41:54","bot","What is the net weight of the truck in kg? "
"2019-12-11 11:41:54","user","4000"
"2019-12-11 11:41:56","bot","What is the load of the truck in kg? "
"2019-12-11 11:41:56","user","3000"
"2019-12-11 11:41:58","bot","Do you want to add the truck 2 in your fleet(y/n)? "
"2019-12-11 11:41:58","user","n"
"2019-12-11 11:41:58","bot","Your fleet of trucks is listed below (number,axle configuration,weight,load):"
"2019-12-11 11:41:58","bot","[[1, '4x2', 4000.0, 3000.0]]"
